character,ability_type
Marcus Arlington III (Earth-616),Healers
Mark Cadmon (Earth-616),Healers
Michael (Children of Heaven) (Earth-616),Healers
Michael Twoyoungmen (Earth-616),Healers
Miranda Leevald (Earth-616),Healers
Mister Negative (Earth-616),Healers
Morgan le Fay (Earth-616),Healers
Nicodemus West (Earth-616),Healers
Nightingale (Earth-616),Healers
Norrin Radd (Earth-616),Healers
Paco Perez (Earth-616),Healers
Persephone (Olympian) (Earth-616),Healers
Phoebus Apollo (Earth-616),Healers
Poseidon Aegaeus (Earth-616),Healers
Prometheus (Earth-616),Healers
Ruth Bat-Seraph (Earth-616),Healers
Saint Anna (Anna) (Earth-616),Healers
Seer (Earth-616),Healers
Sister Salvation (Earth-616),Healers
Slough (Earth-616),Healers
Stephen Strange (Earth-616),Healers
Thane (Thanos' son) (Earth-616),Healers
Topaz (Earth-616),Healers
Vivatma Visvajit (Earth-616),Healers
Warren Worthington III (Earth-616),Healers
William Kaplan (Earth-616),Healers
Xa (Earth-616),Healers
Yuri (Rasputin) (Earth-616),Healers
Zsaji (Earth-616),Healers
Ananym (Earth-616),Hydrokinesis
Austin Deprez (Earth-616),Hydrokinesis
Bloodtide (Atlantean) (Earth-616),Hydrokinesis
Bridget O'Hare (Earth-616),Hydrokinesis
Carl Aalston (Earth-616),Hydrokinesis
Chynae (Earth-616),Hydrokinesis
Crystalia Amaquelin (Earth-616),Hydrokinesis
Dancing Water (Earth-616),Hydrokinesis
Faira Sar Namora (Earth-616),Hydrokinesis
Gaea (Earth-616),Hydrokinesis
Hiro Sokuto (Earth-616),Hydrokinesis
Hiro-Kala (Earth-616),Hydrokinesis
Hydron (Salem's Seven) (Earth-616),Hydrokinesis
Imo Miri (Earth-616),Hydrokinesis
Jericho Drumm (Earth-616),Hydrokinesis
John Lopez (Earth-616),Hydrokinesis
Kaluu (Earth-616),Hydrokinesis
Marrina Smallwood (Earth-616),Hydrokinesis
Meggan Puceanu (Earth-616),Hydrokinesis
Michael Asher (Earth-616),Hydrokinesis
Modred (Earth-616),Hydrokinesis
Morris Bench (Earth-616),Hydrokinesis
Namor McKenzie (Earth-616),Hydrokinesis
Njord Burison (Earth-616),Hydrokinesis
Ocean (Earth-616),Hydrokinesis
Ororo Munroe (Earth-616),Hydrokinesis
Oshun (Santerians) (Earth-616),Hydrokinesis
Peter van Zante (Earth-616),Hydrokinesis
Porous (Earth-616),Hydrokinesis
Poseidon Aegaeus (Earth-616),Hydrokinesis
Quench (Habit Heroes) (Earth-616),Hydrokinesis
Quetzalcoatl (Earth-616),Hydrokinesis
Robert Drake (Earth-616),Hydrokinesis
Roger Norvell (Earth-616),Hydrokinesis
Sangre (Children of the Vault) (Earth-616),Hydrokinesis
Skagg (Earth-616),Hydrokinesis
Thor Odinson (Earth-616),Hydrokinesis
Tucker (mutant) (Earth-616),Hydrokinesis
Undertow (Surf) (Earth-616),Hydrokinesis
Water (Elementals) (Earth-616),Hydrokinesis
Water Witch (Earth-616),Hydrokinesis
William Read (Earth-616),Hydrokinesis
Aaron Nicholson (Earth-616),Hypercognitive
Brainchild (Earth-616),Hypercognitive
Bullseye (Lester) (Earth-616),Hypercognitive
Burt Corrigan (Earth-616),Hypercognitive
Changeling (Earth-616),Hypercognitive
Flagstone (Earth-616),Hypercognitive
George Tarleton (Earth-616),Hypercognitive
Ghaur (Earth-616),Hypercognitive
Harold Stanch (Earth-616),Hypercognitive
Harvey Schlemerman (Earth-616),Hypercognitive
Jeanne Foucault (Earth-616),Hypercognitive
Lobe (Earth-616),Hypercognitive
Maya Lopez (Earth-616),Hypercognitive
Mentac (Earth-616),Hypercognitive
Nicholas Rutledge (Earth-616),Hypercognitive
Noah Black (Earth-616),Hypercognitive
Sage (Earth-616),Hypercognitive
Tony Masters (Earth-616),Hypercognitive
William Knoblach (Earth-616),Hypercognitive
Ai Apaec (Earth-616),Hyperosmia
Akihiro (Earth-616),Hyperosmia
Alexei Kravinoff (Earth-616),Hyperosmia
Callisto (Earth-616),Hyperosmia
Duc No Tranh (Earth-616),Hyperosmia
Eduardo Lobo (Earth-616),Hyperosmia
Edward Whelan (Earth-616),Hyperosmia
Fera (Earth-616),Hyperosmia
Greer Grant (Earth-616),Hyperosmia
Henry McCoy (Earth-616),Hyperosmia
Henry McCoy (X-Beast) (Earth-616),Hyperosmia
Hepzibah (Earth-616),Hyperosmia
Ilya Koblev (Earth-616),Hyperosmia
Ioakim Koblev (Earth-616),Hyperosmia
Issa Koblev (Earth-616),Hyperosmia
Jack Russell (Earth-616),Hyperosmia
James Howlett (Earth-616),Hyperosmia
Jason Strongbow (Earth-616),Hyperosmia
Jubilation Lee (Earth-616),Hyperosmia
Laura Kinney (Earth-616),Hyperosmia
Loca (Inferno Baby) (Earth-616),Hyperosmia
Lucia Callasantos (Earth-616),Hyperosmia
Man-Beast (Earth-616),Hyperosmia
Maria Callasantos (Earth-616),Hyperosmia
Matthew Murdock (Earth-616),Hyperosmia
Mikhail Ursus (Earth-616),Hyperosmia
Nina Price (Earth-616),Hyperosmia
Rahne Sinclair (Earth-616),Hyperosmia
Robert Baxter (Earth-616),Hyperosmia
Rocket Raccoon (Earth-616),Hyperosmia
Sale (Earth-616),Hyperosmia
Shathra (Earth-616),Hyperosmia
Shirlee Bryant (Earth-616),Hyperosmia
Sydren (Earth-616),Hyperosmia
T'Challa (Earth-616),Hyperosmia
Thomas Fireheart (Earth-616),Hyperosmia
Victor Creed (Earth-616),Hyperosmia
Woodgod (Earth-616),Hyperosmia
Alexander Flynn (Earth-616),Hypnosis
Alexi Garnoff (Earth-616),Hypnosis
Alyssa (Earth-616),Hypnosis
Ananym (Earth-616),Hypnosis
Anthony Druid (Earth-616),Hypnosis
Antoine Delsoin (Earth-616),Hypnosis
Augustus (Earth-616),Hypnosis
Autumn MacRae (Earth-616),Hypnosis
Balus (Earth-616),Hypnosis
Black Carlo (Earth-616),Hypnosis
Brigid O'Reilly (Earth-616),Hypnosis
Charles Barnabus (Earth-616),Hypnosis
Charlotte Witter (Earth-616),Hypnosis
Clea (Earth-616),Hypnosis
Daniel Rand (Earth-616),Hypnosis
Dansen Macabre (Earth-616),Hypnosis
Deacon Frost (Earth-616),Hypnosis
Drake Shannon (Earth-616),Hypnosis
Edith Harker (Earth-616),Hypnosis
Esteban Corazón de Ablo (Earth-616),Hypnosis
Felicity Cross (Earth-616),Hypnosis
Foreigner (Earth-616),Hypnosis
Gargantus (Alien Robot) (Earth-616),Hypnosis
George Tarleton (Earth-616),Hypnosis
Hannibal King (Earth-616),Hypnosis
Headhunter (Mutant) (Earth-616),Hypnosis
Jackson Arvad (Earth-616),Hypnosis
Josef Saint (Earth-616),Hypnosis
Julia Koenig (Earth-616),Hypnosis
Kaluu (Earth-616),Hypnosis
Karl Lykos (Earth-616),Hypnosis
Karl Mordo (Earth-616),Hypnosis
Karla Sofen (Earth-616),Hypnosis
Kl'rt (Earth-616),Hypnosis
Krystal (Mutant) (Earth-616),Hypnosis
Lani Ubanu (Earth-616),Hypnosis
Lianda (Earth-616),Hypnosis
Lilith Drake (Earth-616),Hypnosis
Lorelei (Asgardian) (Earth-616),Hypnosis
Mark Funny (Earth-616),Hypnosis
Mesmero (Vincent) (Earth-616),Hypnosis
Michael Morbius (Earth-616),Hypnosis
Mona Welles (Earth-616),Hypnosis
Nina Price (Earth-616),Hypnosis
Orrgo (Earth-616),Hypnosis
Paibok (Earth-616),Hypnosis
Phineas Horton (Earth-616),Hypnosis
Rachel Argosy (Earth-616),Hypnosis
Remy LeBeau (Earth-616),Hypnosis
Rihva (Earth-616),Hypnosis
Sacred One (Earth-616),Hypnosis
Satrina (Earth-616),Hypnosis
Stephen Strange (Earth-616),Hypnosis
Supergiant (Earth-616),Hypnosis
Susan Scarbo (Earth-616),Hypnosis
Tanya Sealy (Earth-616),Hypnosis
The Hypst'r (Earth-616),Hypnosis
Trista (Earth-616),Hypnosis
Veronica Dultry (Earth-616),Hypnosis
Vlad Dracula (Earth-616),Hypnosis
Xemnu (Earth-616),Hypnosis
Yao (Earth-616),Hypnosis
Agatha Harkness (Earth-616),Illusionists
Aginar (Earth-616),Illusionists
Alex Flores (Earth-616),Illusionists
Amatsu-Mikaboshi (Earth-616),Illusionists
Amora (Earth-616),Illusionists
Amy (Mutant) (Earth-616),Illusionists
Ananym (Earth-616),Illusionists
Aron (Earth-616),Illusionists
Arthur Goddard (Earth-616),Illusionists
Arthur Parks (Earth-616),Illusionists
Ashake (Egyptian) (Earth-616),Illusionists
Azura (Earth-616),Illusionists
Brian DeWolff (Earth-616),Illusionists
Catherine Moranis (Earth-616),Illusionists
Celeste Cuckoo (Earth-616),Illusionists
Charles Xavier (Earth-616),Illusionists
Charles Xavier (Entity) (Earth-616),Illusionists
Charlie Cluster-7 (Earth-616),Illusionists
Christopher Thorn (Earth-616),Illusionists
Clea (Earth-616),Illusionists
Craig Farnsworth (Earth-616),Illusionists
D'Spayre (Earth-616),Illusionists
Daniel Berkhart (Earth-616),Illusionists
Danielle Moonstar (Earth-616),Illusionists
Declan Dane (Earth-616),Illusionists
Dreamqueen (Earth-616),Illusionists
Druig (Earth-616),Illusionists
E.V.A. (Earth-616),Illusionists
Elizabeth Braddock (Earth-616),Illusionists
Elysia (Earth-616),Illusionists
Emma Frost (Earth-616),Illusionists
Emma Frost (Skrull) (Earth-616),Illusionists
Eric Payne (Earth-616),Illusionists
Eric Williams (Earth-616),Illusionists
Esme Cuckoo (Earth-616),Illusionists
Fantasia (Earth-616),Illusionists
Fatale (Earth-616),Illusionists
Figment (Earth-616),Illusionists
Francis Klum (Earth-616),Illusionists
Grace (Mutant) (Earth-616),Illusionists
Gracie Smith (Earth-616),Illusionists
Grom (Earth-616),Illusionists
Hela (Earth-616),Illusionists
Holly Bright (Earth-616),Illusionists
Hoodwink (Earth-616),Illusionists
Hope Summers (Earth-616),Illusionists
Horace Littleton (Earth-616),Illusionists
Inka (Earth-616),Illusionists
Irma Cuckoo (Earth-616),Illusionists
Jasmine Destine (Earth-616),Illusionists
Jason Wyngarde (Clone) (Earth-616),Illusionists
Jason Wyngarde (Earth-616),Illusionists
Jean Grey (Earth-616),Illusionists
Jimaine Szardos (Earth-616),Illusionists
Jonothon Starsmore (Earth-616),Illusionists
Jormungand (Earth-616),Illusionists
Joseph Wade (Earth-616),Illusionists
Joshua Ayers (Earth-616),Illusionists
Julius Dupree (Earth-616),Illusionists
Kaluu (Earth-616),Illusionists
Karl Mordo (Earth-616),Illusionists
Khoryphos (Earth-616),Illusionists
Krystal (Mutant) (Earth-616),Illusionists
Lara King (Earth-616),Illusionists
Larry Bodine (Earth-616),Illusionists
Larry Ekler (Earth-616),Illusionists
Lightning Bug (Morlock) (Earth-616),Illusionists
Lil' Bro (Earth-616),Illusionists
Loki Laufeyson (Ikol) (Earth-616),Illusionists
Luz (Earth-616),Illusionists
Magique (Earth-616),Illusionists
Maha Yogi (Earth-616),Illusionists
Malcolm Drake (Earth-616),Illusionists
Mandarin (Earth-616),Illusionists
Mar-Vell (Earth-616),Illusionists
Martinique Wyngarde (Earth-616),Illusionists
Marvin Flumm (Earth-616),Illusionists
Megan Gwynn (Earth-616),Illusionists
Mephisto (Earth-616),Illusionists
Mesmero (Vincent) (Earth-616),Illusionists
Michael Twoyoungmen (Earth-616),Illusionists
Modred (Earth-616),Illusionists
Monako (Earth-616),Illusionists
Morgan le Fay (Earth-616),Illusionists
Mysterion (Earth-616),Illusionists
Naga (Earth-616),Illusionists
Nancy (Mutant) (Earth-616),Illusionists
Nightmare (Earth-616),Illusionists
Onslaught (Psychic Entity) (Earth-616),Illusionists
Phastos (Earth-616),Illusionists
Phoebe Cuckoo (Earth-616),Illusionists
Plan Chu (Earth-616),Illusionists
Quentin Beck (Earth-616),Illusionists
Quincy Marrow (Earth-616),Illusionists
Quintavius Quire (Earth-616),Illusionists
Regan Wyngarde (Earth-616),Illusionists
Satrina (Earth-616),Illusionists
Silas Warden (Earth-616),Illusionists
Sophie Cuckoo (Earth-616),Illusionists
Sprite (Eternal) (Earth-616),Illusionists
Stepford Cuckoos (Earth-616),Illusionists
Stephen Strange (Earth-616),Illusionists
Susan Scarbo (Earth-616),Illusionists
Tanya Trask (Earth-616),Illusionists
Tartarus (Neo) (Earth-616),Illusionists
Temugin (Earth-616),Illusionists
Tuval (Earth-616),Illusionists
Uatu (Earth-616),Illusionists
Umar (Earth-616),Illusionists
Vision (Jonas) (Earth-616),Illusionists
William Hastings (Earth-616),Illusionists
William Kaplan (Earth-616),Illusionists
Yao (Earth-616),Illusionists
Aarkus (Earth-616),Immortals
Aban (Earth-616),Immortals
Absalom (Earth-616),Immortals
Adam Destine (Earth-616),Immortals
Adam K'ad-Mon (Earth-616),Immortals
Adriana Soria (Earth-616),Immortals
Agamotto (Earth-616),Immortals
Aged Genghis (Earth-616),Immortals
Aginar (Earth-616),Immortals
Ahmet Abdol (Earth-616),Immortals
Ahpuch (Earth-616),Immortals
Ai Apaec (Earth-616),Immortals
Alexi Cronos (Earth-616),Immortals
Alison Blaire (Earth-616),Immortals
Alyssa (Earth-616),Immortals
Amanda Mueller (Earth-616),Immortals
Amatsu-Mikaboshi (Earth-616),Immortals
Anath-Na Mut (Earth-616),Immortals
Anthropomorpho (Earth-616),Immortals
Anuxa (Earth-616),Immortals
Aphrodite Ourania (Earth-616),Immortals
Ares (Earth-616),Immortals
Arnim Zola (Earth-616),Immortals
Arnim Zola 4.2.3 (Earth-616),Immortals
Artemis (Olympian) (Earth-616),Immortals
Astarte (Earth-616),Immortals
Athena Parthenos (Earth-616),Immortals
Atrocity (Earth-616),Immortals
Azazel (Earth-616),Immortals
Azaziah (Earth-616),Immortals
Azrael (Earth-616),Immortals
Azura (Earth-616),Immortals
Balder Odinson (Earth-616),Immortals
Balthakk (Earth-616),Immortals
Baron Karza (Earth-616),Immortals
Belasco (Earth-616),Immortals
Benjamin Grimm (Earth-616),Immortals
Benjamin Grimm (Onslaught Reborn) (Earth-616),Immortals
Bennet du Paris (Earth-616),Immortals
Bes (Earth-616),Immortals
Bessie (Earth-616),Immortals
Beta Ray Bill (Earth-616),Immortals
Beyonder (Earth-616),Immortals
Bia (Earth-616),Immortals
Black Axe (Earth-616),Immortals
Blackheart (Earth-616),Immortals
Bloodscream (Earth-616),Immortals
Bonita Juarez (Earth-616),Immortals
Bor Burison (Earth-616),Immortals
Boreas (Earth-616),Immortals
Bragi (Earth-616),Immortals
Brona (Earth-616),Immortals
Bruce Dickson (Earth-616),Immortals
Buri (Earth-616),Immortals
Burke (Earth-616),Immortals
Cagliostro (O-Bengh) (Earth-616),Immortals
Cain Marko (Earth-616),Immortals
Cameron Hodge (Earth-616),Immortals
Caretaker (Blood) (Earth-616),Immortals
Carlos LaMuerto (Earth-616),Immortals
Cassandra Webb (Earth-616),Immortals
Cassiopeia (Pantheon) (Earth-616),Immortals
Centurious (Earth-616),Immortals
Chalo (Earth-616),Immortals
Chandu (Earth-616),Immortals
Chons (Earth-616),Immortals
Christopher Daniels (Earth-616),Immortals
Chthon (Earth-616),Immortals
Claudine Renko (Earth-616),Immortals
Clothilde (Earth-616),Immortals
Cole (Neanderthal) (Earth-616),Immortals
Cort Zo Tinnus (Earth-616),Immortals
Corvus Glaive (Earth-616),Immortals
Craig Hollis (Earth-616),Immortals
Crule (Earth-616),Immortals
Cyndriarr (Earth-616),Immortals
Cyttorak (Earth-616),Immortals
D'Spayre (Earth-616),Immortals
Damian Tryp Jr. (Earth-616),Immortals
Deacon Frost (Earth-616),Immortals
Dead Girl (Moonbeam) (Earth-616),Immortals
Death (Earth-616),Immortals
Demeter (Olympian) (Earth-616),Immortals
Dormammu (Earth-616),Immortals
Dweller-in-Darkness (Earth-616),Immortals
Ebenezer Laughton (Earth-616),Immortals
Edith Harker (Earth-616),Immortals
Ego (Earth-616),Immortals
Eliphas (Earth-616),Immortals
Emery Schaub (Earth-616),Immortals
En Dwi Gast (Earth-616),Immortals
En Sabah Nur (Earth-616),Immortals
Eris (Earth-616),Immortals
Eros (Earth-616),Immortals
Eros (Olympian) (Earth-616),Immortals
Eshu (Earth-616),Immortals
Essential (Earth-616),Immortals
Esteban Corazón de Ablo (Earth-616),Immortals
Ethan Warren (Earth-616),Immortals
Farallah (Earth-616),Immortals
Father Time (Elders of the Universe) (Earth-616),Immortals
Fiona Knoblach (Earth-616),Immortals
Forever Man (Mutant) (Earth-616),Immortals
Forsung (Earth-616),Immortals
Foundry (Blood) (Earth-616),Immortals
Frankenstein's Monster (Earth-616),Immortals
Gabriel Shepherd (Earth-616),Immortals
Galactus (Earth-616),Immortals
Gali (Earth-616),Immortals
Garbha-Hsien (Earth-616),Immortals
Garokk (Earth-616),Immortals
Gideon (Earth-616),Immortals
Gilgamesh (Earth-616),Immortals
Gali (Earth-616),Immortals
Garbha-Hsien (Earth-616),Immortals
Garokk (Earth-616),Immortals
Gideon (Earth-616),Immortals
Gilgamesh (Earth-616),Immortals
Gilpetperdon (Earth-616),Immortals
Gorgolla (Earth-616),Immortals
Gort (Neanderthal) (Earth-616),Immortals
Granitor (Earth-616),Immortals
Grogg (Earth-616),Immortals
Grom (Earth-616),Immortals
Hadad (Earth-616),Immortals
Hannibal King (Earth-616),Immortals
Hebe Panhellenios (Earth-616),Immortals
Hecate (Earth-616),Immortals
Hector (Pantheon) (Earth-616),Immortals
Hephaestus Aetnaeus (Earth-616),Immortals
Herbert Wyndham (Earth-616),Immortals
Hercules (Earth-616),Immortals
Hermes Diaktoros (Earth-616),Immortals
Hermod Odinson (Earth-616),Immortals
Hippolyta (Earth-616),Immortals
Hoder Vilison (Earth-616),Immortals
Hoggoth (Earth-616),Immortals
Hui Lin (Earth-616),Immortals
Ikaris (Eternal) (Earth-616),Immortals
Ikonn (Earth-616),Immortals
Imhotep (Demon) (Earth-616),Immortals
In-Betweener (Earth-616),Immortals
Isaac Newton (Earth-616),Immortals
Isis (Deity) (Earth-616),Immortals
Izo (Earth-616),Immortals
Jacqueline Falsworth (Earth-616),Immortals
James Howlett (Earth-616),Immortals
James Howlett (Onslaught Reborn) (Earth-616),Immortals
James Jaspers (Earth-616),Immortals
James Raydar (Earth-616),Immortals
Jebediah Fate (Earth-616),Immortals
Jenny (Dead Girl) (Earth-616),Immortals
Johann Shmidt (Earth-616),Immortals
John Falsworth (Earth-616),Immortals
Jonas Graymalkin (Earth-616),Immortals
Jormungand (Earth-616),Immortals
Jubilation Lee (Earth-616),Immortals
Kaluu (Earth-616),Immortals
Kenneth Hale (Earth-616),Immortals
Khoryphos (Earth-616),Immortals
Khult (Earth-616),Immortals
Kraggoom (Earth-616),Immortals
Krakkan (Earth-616),Immortals
Kratos (Earth-616),Immortals
Kro (Earth-616),Immortals
Kulan Gath (Earth-616),Immortals
Lagaro (Earth-616),Immortals
Laslo Magzel (Earth-616),Immortals
Lei-Kung (Earth-616),Immortals
Lianda (Earth-616),Immortals
Loki Laufeyson (Earth-616),Immortals
Loki Laufeyson (Ikol) (Earth-616),Immortals
Loki Laufeyson (Kid Loki) (Earth-616),Immortals
Lord I (Earth-616),Immortals
Luchino Nefaria (Earth-616),Immortals
Lucifer (Lightbearer) (Earth-616),Immortals
Lunatik (Mercenary) (Earth-616),Immortals
Magnir (Earth-616),Immortals
Maha Yogi (Earth-616),Immortals
Makkari (Earth-616),Immortals
Malachi (Earth-616),Immortals
Marjorie Brink (Earth-616),Immortals
Melody Jacobs (Earth-616),Immortals
Mephisto (Earth-616),Immortals
Meryet Karim (Earth-616),Immortals
Metarchus (Earth-616),Immortals
Michel de Nostredame (Earth-616),Immortals
Mimir Burison (Earth-616),Immortals
Mistress Love (Earth-616),Immortals
Morgan le Fay (Earth-616),Immortals
Mortigan Goth (Earth-616),Immortals
Munnopor (Earth-616),Immortals
N'Kantu (Earth-616),Immortals
Naga (Earth-616),Immortals
Nathaniel Essex (Earth-616),Immortals
Neron-Alak (Earth-616),Immortals
Neutron (Imperial Guard) (Earth-616),Immortals
Nicodemus (Mutant) (Earth-616),Immortals
Night Raven (Vigilante) (Earth-616),Immortals
Nightmare (Earth-616),Immortals
Nox (Nyx) (Earth-616),Immortals
Nut (Earth-616),Immortals
Oceanus (Earth-616),Immortals
Ogun (Ninja) (Earth-616),Immortals
One-Eye (Neanderthal) (Earth-616),Immortals
Ord Zyonz (Earth-616),Immortals
Oshtur (Earth-616),Immortals
Osiris (Earth-616),Immortals
Otto Kronsteig (Earth-616),Immortals
Owen Reece (Earth-616),Immortals
Ozymandias (Earth-616),Immortals
Pandora (Earth-616),Immortals
Pele (Oceanic Goddess) (Earth-616),Immortals
Pelops (Earth-616),Immortals
Peter Noble (Earth-616),Immortals
Phastos (Earth-616),Immortals
Phoebus Apollo (Earth-616),Immortals
Phoenix Force (Earth-616),Immortals
Pluto (Earth-616),Immortals
Poseidon Aegaeus (Earth-616),Immortals
Prester John (Johann) (Earth-616),Immortals
Peter Noble (Earth-616),Immortals
Phastos (Earth-616),Immortals
Phoebus Apollo (Earth-616),Immortals
Phoenix Force (Earth-616),Immortals
Pluto (Earth-616),Immortals
Poseidon Aegaeus (Earth-616),Immortals
Prester John (Johann) (Earth-616),Immortals
Raizo Kodo (Earth-616),Immortals
Rogue (Anna Marie) (Earth-616),Immortals
Romulus (Earth-616),Immortals
Rubach (Earth-616),Immortals
Sandra Verdugo (Earth-616),Immortals
Satannish (Earth-616),Immortals
Sedrick (Earth-616),Immortals
Seginn Gallio (Earth-616),Immortals
Selene Gallio (Earth-616),Immortals
Sergei Kravinoff (Earth-616),Immortals
Sersi (Earth-616),Immortals
Set (Earth-616),Immortals
Seth (Earth-616),Immortals
Shadow King (Earth-616),Immortals
Simon Williams (Earth-616),Immortals
Sire Hate (Earth-616),Immortals
Siren (Warpies) (Earth-616),Immortals
Spore (Earth-616),Immortals
Sprite (Eternal) (Earth-616),Immortals
Stephen Strange (Earth-616),Immortals
Stone (Chaste) (Earth-616),Immortals
Sun Wukong (Earth-616),Immortals
Supreme Intelligence (Earth-616),Immortals
Surtur (Earth-616),Immortals
Taneleer Tivan (Earth-616),Immortals
Tarene (Earth-616),Immortals
Tath Ki (Earth-616),Immortals
Terrance Ward (Earth-616),Immortals
Tetra (Earth-616),Immortals
Thanos (Earth-616),Immortals
That Which Endures (Earth-616),Immortals
Theodore Sallis (Earth-616),Immortals
Thulsa Doom (Earth-616),Immortals
Topher (Earth-616),Immortals
Truthsayer (Earth-616),Immortals
Tryco Slatterus (Earth-616),Immortals
Turac (Earth-616),Immortals
Typhon (Earth-616),Immortals
Tyr Odinson (Earth-616),Immortals
Uatu (Earth-616),Immortals
Ulik (Earth-616),Immortals
Ultron (Earth-616),Immortals
Ultron V (Onslaught Reborn) (Earth-616),Immortals
Ulysses Bloodstone (Earth-616),Immortals
Ulysses Klaw (Earth-616),Immortals
Umar (Earth-616),Immortals
Vampiro (Eternal) (Earth-616),Immortals
Ve Borson (Earth-616),Immortals
Venus (Siren) (Earth-616),Immortals
Victor Avery (Earth-616),Immortals
Vidar Odinson (Earth-616),Immortals
Vili Borson (Earth-616),Immortals
Vision (Earth-616),Immortals
Vision (Onslaught Reborn) (Earth-616),Immortals
Vlad Dracula (Earth-616),Immortals
Voyager (Body Magician) (Earth-616),Immortals
Wade Wilson (Earth-616),Immortals
Wade Wilson (Loop) (Earth-616),Immortals
Walker (Deity) (Earth-616),Immortals
Wolfgang von Strucker (Earth-616),Immortals
Yag-Kosha (Earth-616),Immortals
Yi Yang (Earth-616),Immortals
Zadkiel (Earth-616),Immortals
Zeus Panhellenios (Earth-616),Immortals
Zheng Zu (Earth-616),Immortals
Zuras (Earth-616),Immortals
ForgetMeNot (Earth-616),Imperceptibility
June (Earth-616),Imperceptibility
Mary Zero (Mary) (Earth-616),Imperceptibility
White Ninja (Earth-616),Imperceptibility
Barbara Morse (Earth-616),Infinity_Formula
Berthold Sternberg (Earth-616),Infinity_Formula
Dirk Anger (Earth-616),Infinity_Formula
Isaac Newton (Earth-616),Infinity_Formula
Jacob Fury (Earth-616),Infinity_Formula
James Buchanan Barnes (Earth-616),Infinity_Formula
Leonardo da Vinci (Earth-616),Infinity_Formula
Michel de Nostredame (Earth-616),Infinity_Formula
Mikel Fury (Earth-616),Infinity_Formula
Nicholas Fury (Earth-616),Infinity_Formula
"Nicholas Fury, Jr. (Earth-616)",Infinity_Formula
Steel Harris (Earth-616),Infinity_Formula
Viktor Uvarov (Earth-616),Infinity_Formula
Absolon Mercator (Earth-616),Intangibility
Advisor (Earth-616),Intangibility
Alex Wildman (Earth-616),Intangibility
Alisa Tager (Earth-616),Intangibility
Aminedi (Earth-616),Intangibility
Arthur Parks (Earth-616),Intangibility
Astra (Imperial Guard) (Earth-616),Intangibility
Black Shadow (Earth-616),Intangibility
Bronwen Gryffn (Earth-616),Intangibility
Capitaine Fantome (Earth-616),Intangibility
Carl Rives (Earth-616),Intangibility
Carter Slade (Earth-616),Intangibility
Cassandra Nova Xavier (Earth-616),Intangibility
Christine Cord (Earth-616),Intangibility
D'Spayre (Earth-616),Intangibility
Damian Tryp Jr. (Earth-616),Intangibility
Dead Girl (Moonbeam) (Earth-616),Intangibility
Deathurge (Earth-616),Intangibility
DeMarr Davis (Earth-616),Intangibility
Detective Fantôme (Earth-616),Intangibility
Dewoz (Earth-616),Intangibility
Egghead (Robot) (Earth-616),Intangibility
Eileen Harsaw (Earth-616),Intangibility
Endgame (Legion Personality) (Earth-616),Intangibility
Farouk Al-Fasaud (Earth-616),Intangibility
Faze (Cobalt) (Earth-616),Intangibility
Ghost (Earth-616),Intangibility
Ghost (Zero) (Earth-616),Intangibility
Glynis Zarkov (Earth-616),Intangibility
Griffin Gogol (Earth-616),Intangibility
Hamilton Slade (Rider) (Earth-616),Intangibility
Hollow (Inhuman) (Earth-616),Intangibility
Integer (Earth-616),Intangibility
Ivan Kragoff (Earth-616),Intangibility
Jackson Arvad (Earth-616),Intangibility
James Darnell (Earth-616),Intangibility
Jane Hampshire (Earth-616),Intangibility
Jeffrey Garrett (Earth-616),Intangibility
Jenny (Dead Girl) (Earth-616),Intangibility
Jillian Woods (Earth-616),Intangibility
Jubilation Lee (Earth-616),Intangibility
Karla Sofen (Earth-616),Intangibility
Katherine Pryde (Earth-616),Intangibility
Kraggoom (Earth-616),Intangibility
Kym (Earth-616),Intangibility
Libra (LMD) (Earth-616),Intangibility
Lilli Stephens (Earth-616),Intangibility
Lloyd Bloch (Earth-616),Intangibility
Lord Deathstrike (Earth-616),Intangibility
Ludi (Earth-616),Intangibility
Manuel Vicente (Earth-616),Intangibility
Marabeth (Earth-616),Intangibility
Marcus Fifolet (Earth-616),Intangibility
Marius St. Croix (Earth-616),Intangibility
Miguel Santos (Earth-616),Intangibility
Monica Rambeau (Earth-616),Intangibility
N'Kano (Earth-616),Intangibility
N'zyr (Earth-616),Intangibility
Nicolette Giroux (Earth-616),Intangibility
Omega White (Earth-616),Intangibility
Onslaught (Psychic Entity) (Earth-616),Intangibility
Ororo's grandmother (Earth-616),Intangibility
Philip Wing (Earth-616),Intangibility
Phillip Sterling (Earth-616),Intangibility
Renee Deladier (Earth-616),Intangibility
Rot (Earth-616),Intangibility
Sarah Ryall (Earth-616),Intangibility
Shadow King (Earth-616),Intangibility
Shinobi Shaw (Earth-616),Intangibility
Silhouette Chord (Earth-616),Intangibility
Simon Hall (Earth-616),Intangibility
Smoke (Earth-616),Intangibility
Thahn Ng (Earth-616),Intangibility
The Shade (Earth-616),Intangibility
Thomas Shepherd (Earth-616),Intangibility
Torran (Earth-616),Intangibility
Tyrone Johnson (Earth-616),Intangibility
Vakume (Earth-616),Intangibility
Veil (Corporation) (Earth-616),Intangibility
Vision (Earth-616),Intangibility
Vision (Jonas) (Earth-616),Intangibility
